Account,active_days,total_trades,avg_daily_trades,avg_trade_size_usd,total_net_pnl,avg_daily_pnl,profitable_days,losing_days,avg_realized_win_rate,profitable_day_ratio,activity_segment,size_segment,consistency_segment
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,256,14733,57.55078125,4495.49655852293,2127387.27943718,8310.106560301485,120,134,0.7997419813230227,0.46875,Low activity,Small size,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,24,3818,159.08333333333334,33569.102223713766,1592824.507675,66367.68781979167,16,7,0.7706911497254099,0.6666666666666666,High activity,Large size,Consistent winners
0xbaaaf6571ab7d571043ff1e313a9609a10637864,28,21192,756.8571428571429,4528.364242699367,931567.100553781,33270.25359120646,21,6,0.9498331633731827,0.75,High activity,Small size,Consistent winners
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,131,40184,306.7480916030534,1760.5388452412292,822727.65336805,6280.363766168321,104,26,0.8055407335868281,0.7938931297709924,High activity,Small size,Consistent winners
0x513b8629fe877bb581bf244e326a047b249c4ff1,39,12236,313.7435897435897,27603.84521556422,763997.91232431,19589.690059597695,21,17,0.8668135348666396,0.5384615384615384,High activity,Large size,Inconsistent
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,58,4356,75.10344827586206,16024.724760769133,669721.05824881,11546.914797393276,38,20,0.9126012876012876,0.6551724137931034,High activity,Large size,Consistent winners
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,19,1590,83.6842105263158,9367.295108536868,427804.1286487099,22516.00677098473,4,15,0.5299145299145299,0.21052631578947367,High activity,Large size,Inconsistent
0x430f09841d65beb3f27765503d0f850b8bce7713,28,1237,44.17857142857143,2525.945975144083,415794.86540999997,14849.816621785712,7,8,1.0,0.25,Low activity,Small size,Inconsistent
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,66,1430,21.666666666666668,4840.92212840505,402721.49311084,6101.840804709696,17,49,0.7983957219251336,0.25757575757575757,Low activity,Large size,Inconsistent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,146,9893,67.76027397260275,3354.2092903010684,376500.14756932,2578.7681340364384,132,14,0.8804709200721843,0.9041095890410958,High activity,Small size,Consistent winners
